# ITB Physics Dept. / Python Programming Basics / Syeilendra
# Generate 2D plot from xyz data file
#      i       j           x           y     z=f(x,y)
       4      13      -7.400      -2.600       0.015
       4      14      -7.400      -2.400      -0.101
       4      15      -7.400      -2.200      -0.265
       4      16      -7.400      -2.000      -0.456
       4      17      -7.400      -1.800      -0.641
       4      18      -7.400      -1.600      -0.785
       4      19      -7.400      -1.400      -0.854
       4      20      -7.400      -1.200      -0.822
       4      21      -7.400      -1.000      -0.673
       4      22      -7.400      -0.800      -0.411
       4      23      -7.400      -0.600      -0.052
       4      24      -7.400      -0.400       0.367
       4      25      -7.400      -0.200       0.801
       4      26      -7.400       0.000       1.194
       4      27      -7.400       0.200       1.494
       4      28      -7.400       0.400       1.655
       4      29      -7.400       0.600       1.647
       4      30      -7.400       0.800       1.457
       4      31      -7.400       1.000       1.096
       4      32      -7.400       1.200       0.597
       4      33      -7.400       1.400       0.012
       4      34      -7.400       1.600      -0.595
       4      35      -7.400       1.800      -1.155
       4      36      -7.400       2.000      -1.600
       4      37      -7.400       2.200      -1.876
       4      38      -7.400       2.400      -1.949
       4      39      -7.400       2.600      -1.806
       4      40      -7.400       2.800      -1.463
       4      41      -7.400       3.000      -0.959
       4      42      -7.400       3.200      -0.352
       4      43      -7.400       3.400       0.285
       4      44      -7.400       3.600       0.878
       4      45      -7.400       3.800       1.357
       4      46      -7.400       4.000       1.666
       4      47      -7.400       4.200       1.769
       4      48      -7.400       4.400       1.659
       4      49      -7.400       4.600       1.352
       4      50      -7.400       4.800       0.888
       4      51      -7.400       5.000       0.327
       5       1      -7.200      -5.000       0.687
       5       2      -7.200      -4.800       0.574
       5       3      -7.200      -4.600       0.430
       5       4      -7.200      -4.400       0.285
       5       5      -7.200      -4.200       0.165
       5       6      -7.200      -4.000       0.086
       5       7      -7.200      -3.800       0.053
       5       8      -7.200      -3.600       0.061
       5       9      -7.200      -3.400       0.095
       5      10      -7.200      -3.200       0.133
       5      11      -7.200      -3.000       0.153
       5      12      -7.200      -2.800       0.135
       5      13      -7.200      -2.600       0.065
       5      14      -7.200      -2.400      -0.059
       5      15      -7.200      -2.200      -0.228
       5      16      -7.200      -2.000      -0.421
       5      17      -7.200      -1.800      -0.611
       5      18      -7.200      -1.600      -0.766
       5      19      -7.200      -1.400      -0.852
       5      20      -7.200      -1.200      -0.844
       5      21      -7.200      -1.000      -0.730
       5      22      -7.200      -0.800      -0.507
       5      23      -7.200      -0.600      -0.193
       5      24      -7.200      -0.400       0.181
       5      25      -7.200      -0.200       0.574
       5      26      -7.200       0.000       0.935
       5      27      -7.200       0.200       1.216
       5      28      -7.200       0.400       1.375
       5      29      -7.200       0.600       1.381
       5      30      -7.200       0.800       1.223
       5      31      -7.200       1.000       0.910
       5      32      -7.200       1.200       0.470
       5      33      -7.200       1.400      -0.049
       5      34      -7.200       1.600      -0.590
       5      35      -7.200       1.800      -1.088
       5      36      -7.200       2.000      -1.481
       5      37      -7.200       2.200      -1.720
       5      38      -7.200       2.400      -1.771
       5      39      -7.200       2.600      -1.623
       5      40      -7.200       2.800      -1.288
       5      41      -7.200       3.000      -0.801
       5      42      -7.200       3.200      -0.216
       5      43      -7.200       3.400       0.399
       5      44      -7.200       3.600       0.977
       5      45      -7.200       3.800       1.449
       5      46      -7.200       4.000       1.763
       5      47      -7.200       4.200       1.884
       5      48      -7.200       4.400       1.801
       5      49      -7.200       4.600       1.525
       5      50      -7.200       4.800       1.093
       5      51      -7.200       5.000       0.557
       6       1      -7.000      -5.000       0.879
       6       2      -7.000      -4.800       0.795
       6       3      -7.000      -4.600       0.670
       6       4      -7.000      -4.400       0.532
       6       5      -7.000      -4.200       0.407
       6       6      -7.000      -4.000       0.311
       6       7      -7.000      -3.800       0.253
       6       8      -7.000      -3.600       0.229
       6       9      -7.000      -3.400       0.229
       6      10      -7.000      -3.200       0.234
       6      11      -7.000      -3.000       0.225
       6      12      -7.000      -2.800       0.184
       6      13      -7.000      -2.600       0.099
       6      14      -7.000      -2.400      -0.032
       6      15      -7.000      -2.200      -0.203
       6      16      -7.000      -2.000      -0.395
       6      17      -7.000      -1.800      -0.584
       6      18      -7.000      -1.600      -0.741
       6      19      -7.000      -1.400      -0.836
       6      20      -7.000      -1.200      -0.848
       6      21      -7.000      -1.000      -0.762
       6      22      -7.000      -0.800      -0.579
       6      23      -7.000      -0.600      -0.311
       6      24      -7.000      -0.400       0.014
       6      25      -7.000      -0.200       0.359
       6      26      -7.000       0.000       0.681
       6      27      -7.000       0.200       0.935
       6      28      -7.000       0.400       1.083
       6      29      -7.000       0.600       1.098
       6      30      -7.000       0.800       0.970
       6      31      -7.000       1.000       0.706
       6      32      -7.000       1.200       0.329
       6      33      -7.000       1.400      -0.118
       6      34      -7.000       1.600      -0.583
       6      35      -7.000       1.800      -1.010
       6      36      -7.000       2.000      -1.344
       6      37      -7.000       2.200      -1.539
       6      38      -7.000       2.400      -1.565
       6      39      -7.000       2.600      -1.412
       6      40      -7.000       2.800      -1.089
       6      41      -7.000       3.000      -0.629
       6      42      -7.000       3.200      -0.079
       6      43      -7.000       3.400       0.502
       6      44      -7.000       3.600       1.049
       6      45      -7.000       3.800       1.503
       6      46      -7.000       4.000       1.812
       6      47      -7.000       4.200       1.945
       6      48      -7.000       4.400       1.889
       6      49      -7.000       4.600       1.651
       6      50      -7.000       4.800       1.261
       6      51      -7.000       5.000       0.763
       7       1      -6.800      -5.000       1.036
       7       2      -6.800      -4.800       0.982
       7       3      -6.800      -4.600       0.878
       7       4      -6.800      -4.400       0.751
       7       5      -6.800      -4.200       0.625
       7       6      -6.800      -4.000       0.516
       7       7      -6.800      -3.800       0.435
       7       8      -6.800      -3.600       0.380
       7       9      -6.800      -3.400       0.345
       7      10      -6.800      -3.200       0.315
       7      11      -6.800      -3.000       0.274
       7      12      -6.800      -2.800       0.209
       7      13      -6.800      -2.600       0.109
       7      14      -6.800      -2.400      -0.028
       7      15      -6.800      -2.200      -0.196
       7      16      -6.800      -2.000      -0.380
       7      17      -6.800      -1.800      -0.559
       7      18      -6.800      -1.600      -0.708
       7      19      -6.800      -1.400      -0.804
       7      20      -6.800      -1.200      -0.826
       7      21      -6.800      -1.000      -0.763
       7      22      -6.800      -0.800      -0.615
       7      23      -6.800      -0.600      -0.393
       7      24      -6.800      -0.400      -0.119
       7      25      -6.800      -0.200       0.173
       7      26      -6.800       0.000       0.448
       7      27      -6.800       0.200       0.667
       7      28      -6.800       0.400       0.797
       7      29      -6.800       0.600       0.816
       7      30      -6.800       0.800       0.713
       7      31      -6.800       1.000       0.495
       7      32      -6.800       1.200       0.183
       7      33      -6.800       1.400      -0.188
       7      34      -6.800       1.600      -0.573
       7      35      -6.800       1.800      -0.925
       7      36      -6.800       2.000      -1.194
       7      37      -6.800       2.200      -1.342
       7      38      -6.800       2.400      -1.343
       7      39      -6.800       2.600      -1.187
       7      40      -6.800       2.800      -0.883
       7      41      -6.800       3.000      -0.458
       7      42      -6.800       3.200       0.046
       7      43      -6.800       3.400       0.579
       7      44      -6.800       3.600       1.083
       7      45      -6.800       3.800       1.507
       7      46      -6.800       4.000       1.804
       7      47      -6.800       4.200       1.944
       7      48      -6.800       4.400       1.915
       7      49      -6.800       4.600       1.719
       7      50      -6.800       4.800       1.381
       7      51      -6.800       5.000       0.936
       8       1      -6.600      -5.000       1.148
       8       2      -6.600      -4.800       1.123
       8       3      -6.600      -4.600       1.043
       8       4      -6.600      -4.400       0.930
       8       5      -6.600      -4.200       0.806
       8       6      -6.600      -4.000       0.688
       8       7      -6.600      -3.800       0.585
       8       8      -6.600      -3.600       0.500
       8       9      -6.600      -3.400       0.428
       8      10      -6.600      -3.200       0.362
       8      11      -6.600      -3.000       0.289
       8      12      -6.600      -2.800       0.199
       8      13      -6.600      -2.600       0.086
       8      14      -6.600      -2.400      -0.053
       8      15      -6.600      -2.200      -0.211
       8      16      -6.600      -2.000      -0.378
       8      17      -6.600      -1.800      -0.536
       8      18      -6.600      -1.600      -0.667
       8      19      -6.600      -1.400      -0.751
       8      20      -6.600      -1.200      -0.774
       8      21      -6.600      -1.000      -0.725
       8      22      -6.600      -0.800      -0.607
       8      23      -6.600      -0.600      -0.427
       8      24      -6.600      -0.400      -0.206
       8      25      -6.600      -0.200       0.030
       8      26      -6.600       0.000       0.252
       8      27      -6.600       0.200       0.429
       8      28      -6.600       0.400       0.534
       8      29      -6.600       0.600       0.550
       8      30      -6.600       0.800       0.467
       8      31      -6.600       1.000       0.292
       8      32      -6.600       1.200       0.042
       8      33      -6.600       1.400      -0.253
       8      34      -6.600       1.600      -0.558
       8      35      -6.600       1.800      -0.832
       8      36      -6.600       2.000      -1.036
       8      37      -6.600       2.200      -1.138
       8      38      -6.600       2.400      -1.115
       8      39      -6.600       2.600      -0.962
       8      40      -6.600       2.800      -0.684
       8      41      -6.600       3.000      -0.303
       8      42      -6.600       3.200       0.145
       8      43      -6.600       3.400       0.617
       8      44      -6.600       3.600       1.068
       8      45      -6.600       3.800       1.451
       8      46      -6.600       4.000       1.729
       8      47      -6.600       4.200       1.873
       8      48      -6.600       4.400       1.871
       8      49      -6.600       4.600       1.723
       8      50      -6.600       4.800       1.446
       8      51      -6.600       5.000       1.067
       9       1      -6.400      -5.000       1.211
       9       2      -6.400      -4.800       1.213
       9       3      -6.400      -4.600       1.156
       9       4      -6.400      -4.400       1.059
       9       5      -6.400      -4.200       0.940
       9       6      -6.400      -4.000       0.814
       9       7      -6.400      -3.800       0.691
       9       8      -6.400      -3.600       0.575
       9       9      -6.400      -3.400       0.468
       9      10      -6.400      -3.200       0.365
       9      11      -6.400      -3.000       0.260
       9      12      -6.400      -2.800       0.148
       9      13      -6.400      -2.600       0.025
       9      14      -6.400      -2.400      -0.109
       9      15      -6.400      -2.200      -0.250
       9      16      -6.400      -2.000      -0.390
       9      17      -6.400      -1.800      -0.516
       9      18      -6.400      -1.600      -0.616
       9      19      -6.400      -1.400      -0.676
       9      20      -6.400      -1.200      -0.687
       9      21      -6.400      -1.000      -0.644
       9      22      -6.400      -0.800      -0.548
       9      23      -6.400      -0.600      -0.407
       9      24      -6.400      -0.400      -0.237
       9      25      -6.400      -0.200      -0.059
       9      26      -6.400       0.000       0.107
       9      27      -6.400       0.200       0.236
       9      28      -6.400       0.400       0.309
       9      29      -6.400       0.600       0.313
       9      30      -6.400       0.800       0.244
       9      31      -6.400       1.000       0.107
       9      32      -6.400       1.200      -0.085
       9      33      -6.400       1.400      -0.309
       9      34      -6.400       1.600      -0.536
       9      35      -6.400       1.800      -0.734
       9      36      -6.400       2.000      -0.875
       9      37      -6.400       2.200      -0.934
       9      38      -6.400       2.400      -0.893
       9      39      -6.400       2.600      -0.747
       9      40      -6.400       2.800      -0.503
       9      41      -6.400       3.000      -0.177
       9      42      -6.400       3.200       0.205
       9      43      -6.400       3.400       0.607
       9      44      -6.400       3.600       0.994
       9      45      -6.400       3.800       1.329
       9      46      -6.400       4.000       1.581
       9      47      -6.400       4.200       1.727
       9      48      -6.400       4.400       1.753
       9      49      -6.400       4.600       1.658
       9      50      -6.400       4.800       1.451
       9      51      -6.400       5.000       1.152
      10       1      -6.200      -5.000       1.221
      10       2      -6.200      -4.800       1.246
      10       3      -6.200      -4.600       1.212
      10       4      -6.200      -4.400       1.132
      10       5      -6.200      -4.200       1.018
      10       6      -6.200      -4.000       0.886
      10       7      -6.200      -3.800       0.743
      10       8      -6.200      -3.600       0.599
      10       9      -6.200      -3.400       0.456
      10      10      -6.200      -3.200       0.317
      10      11      -6.200      -3.000       0.183
      10      12      -6.200      -2.800       0.051
      10      13      -6.200      -2.600      -0.077
      10      14      -6.200      -2.400      -0.200
      10      15      -6.200      -2.200      -0.315
      10      16      -6.200      -2.000      -0.417
      10      17      -6.200      -1.800      -0.499
      10      18      -6.200      -1.600      -0.554
      10      19      -6.200      -1.400      -0.577
      10      20      -6.200      -1.200      -0.565
      10      21      -6.200      -1.000      -0.516
      10      22      -6.200      -0.800      -0.434
      10      23      -6.200      -0.600      -0.327
      10      24      -6.200      -0.400      -0.205
      10      25      -6.200      -0.200      -0.085
      10      26      -6.200       0.000       0.021
      10      27      -6.200       0.200       0.097
      10      28      -6.200       0.400       0.132
      10      29      -6.200       0.600       0.119
      10      30      -6.200       0.800       0.056
      10      31      -6.200       1.000      -0.052
      10      32      -6.200       1.200      -0.193
      10      33      -6.200       1.400      -0.350
      10      34      -6.200       1.600      -0.504
      10      35      -6.200       1.800      -0.633
      10      36      -6.200       2.000      -0.717
      10      37      -6.200       2.200      -0.737
      10      38      -6.200       2.400      -0.685
      10      39      -6.200       2.600      -0.555
      10      40      -6.200       2.800      -0.351
      10      41      -6.200       3.000      -0.087
      10      42      -6.200       3.200       0.219
      10      43      -6.200       3.400       0.542
      10      44      -6.200       3.600       0.858
      10      45      -6.200       3.800       1.138
      10      46      -6.200       4.000       1.360
      10      47      -6.200       4.200       1.505
      10      48      -6.200       4.400       1.560
      10      49      -6.200       4.600       1.522
      10      50      -6.200       4.800       1.394
      10      51      -6.200       5.000       1.184
      11       1      -6.000      -5.000       1.177
      11       2      -6.000      -4.800       1.222
      11       3      -6.000      -4.600       1.208
      11       4      -6.000      -4.400       1.143
      11       5      -6.000      -4.200       1.037
      11       6      -6.000      -4.000       0.898
      11       7      -6.000      -3.800       0.738
      11       8      -6.000      -3.600       0.565
      11       9      -6.000      -3.400       0.389
      11      10      -6.000      -3.200       0.216
      11      11      -6.000      -3.000       0.054
      11      12      -6.000      -2.800      -0.093
      11      13      -6.000      -2.600      -0.220
      11      14      -6.000      -2.400      -0.325
      11      15      -6.000      -2.200      -0.404
      11      16      -6.000      -2.000      -0.457
      11      17      -6.000      -1.800      -0.483
      11      18      -6.000      -1.600      -0.481
      11      19      -6.000      -1.400      -0.455
      11      20      -6.000      -1.200      -0.407
      11      21      -6.000      -1.000      -0.341
      11      22      -6.000      -0.800      -0.265
      11      23      -6.000      -0.600      -0.184
      11      24      -6.000      -0.400      -0.108
      11      25      -6.000      -0.200      -0.044
      11      26      -6.000       0.000       0.001
      11      27      -6.000       0.200       0.021
      11      28      -6.000       0.400       0.013
      11      29      -6.000       0.600      -0.025
      11      30      -6.000       0.800      -0.090
      11      31      -6.000       1.000      -0.176
      11      32      -6.000       1.200      -0.274
      11      33      -6.000       1.400      -0.374
      11      34      -6.000       1.600      -0.464
      11      35      -6.000       1.800      -0.531
      11      36      -6.000       2.000      -0.564
      11      37      -6.000       2.200      -0.555
      11      38      -6.000       2.400      -0.498
      11      39      -6.000       2.600      -0.390
      11      40      -6.000       2.800      -0.236
      11      41      -6.000       3.000      -0.042
      11      42      -6.000       3.200       0.181
      11      43      -6.000       3.400       0.420
      11      44      -6.000       3.600       0.658
      11      45      -6.000       3.800       0.879
      11      46      -6.000       4.000       1.068
      11      47      -6.000       4.200       1.210
      11      48      -6.000       4.400       1.297
      11      49      -6.000       4.600       1.319
      11      50      -6.000       4.800       1.274
      11      51      -6.000       5.000       1.164
      12       1      -5.800      -5.000       1.081
      12       2      -5.800      -4.800       1.140
      12       3      -5.800      -4.600       1.145
      12       4      -5.800      -4.400       1.095
      12       5      -5.800      -4.200       0.994
      12       6      -5.800      -4.000       0.851
      12       7      -5.800      -3.800       0.673
      12       8      -5.800      -3.600       0.474
      12       9      -5.800      -3.400       0.266
      12      10      -5.800      -3.200       0.062
      12      11      -5.800      -3.000      -0.123
      12      12      -5.800      -2.800      -0.281
      12      13      -5.800      -2.600      -0.401
      12      14      -5.800      -2.400      -0.480
      12      15      -5.800      -2.200      -0.515
      12      16      -5.800      -2.000      -0.509
      12      17      -5.800      -1.800      -0.468
      12      18      -5.800      -1.600      -0.398
      12      19      -5.800      -1.400      -0.311
      12      20      -5.800      -1.200      -0.216
      12      21      -5.800      -1.000      -0.123
      12      22      -5.800      -0.800      -0.043
      12      23      -5.800      -0.600       0.017
      12      24      -5.800      -0.400       0.054
      12      25      -5.800      -0.200       0.064
      12      26      -5.800       0.000       0.049
      12      27      -5.800       0.200       0.011
      12      28      -5.800       0.400      -0.046
      12      29      -5.800       0.600      -0.114
      12      30      -5.800       0.800      -0.188
      12      31      -5.800       1.000      -0.260
      12      32      -5.800       1.200      -0.325
      12      33      -5.800       1.400      -0.378
      12      34      -5.800       1.600      -0.413
      12      35      -5.800       1.800      -0.428
      12      36      -5.800       2.000      -0.421
      12      37      -5.800       2.200      -0.390
      12      38      -5.800       2.400      -0.337
      12      39      -5.800       2.600      -0.260
      12      40      -5.800       2.800      -0.162
      12      41      -5.800       3.000      -0.044
      12      42      -5.800       3.200       0.092
      12      43      -5.800       3.400       0.240
      12      44      -5.800       3.600       0.397
      12      45      -5.800       3.800       0.557
      12      46      -5.800       4.000       0.711
      12      47      -5.800       4.200       0.851
      12      48      -5.800       4.400       0.968
      12      49      -5.800       4.600       1.053
      12      50      -5.800       4.800       1.097
      12      51      -5.800       5.000       1.091
      13       1      -5.600      -5.000       0.935
      13       2      -5.600      -4.800       1.006
      13       3      -5.600      -4.600       1.026
      13       4      -5.600      -4.400       0.989
      13       5      -5.600      -4.200       0.894
      13       6      -5.600      -4.000       0.746
      13       7      -5.600      -3.800       0.552
      13       8      -5.600      -3.600       0.328
      13       9      -5.600      -3.400       0.091
      13      10      -5.600      -3.200      -0.139
      13      11      -5.600      -3.000      -0.344
      13      12      -5.600      -2.800      -0.506
      13      13      -5.600      -2.600      -0.614
      13      14      -5.600      -2.400      -0.660
      13      15      -5.600      -2.200      -0.643
      13      16      -5.600      -2.000      -0.570
      13      17      -5.600      -1.800      -0.453
      13      18      -5.600      -1.600      -0.306
      13      19      -5.600      -1.400      -0.147
      13      20      -5.600      -1.200       0.004
      13      21      -5.600      -1.000       0.132
      13      22      -5.600      -0.800       0.223
      13      23      -5.600      -0.600       0.272
      13      24      -5.600      -0.400       0.274
      13      25      -5.600      -0.200       0.234
      13      26      -5.600       0.000       0.160
      13      27      -5.600       0.200       0.063
      13      28      -5.600       0.400      -0.043
      13      29      -5.600       0.600      -0.147
      13      30      -5.600       0.800      -0.237
      13      31      -5.600       1.000      -0.304
      13      32      -5.600       1.200      -0.346
      13      33      -5.600       1.400      -0.361
      13      34      -5.600       1.600      -0.352
      13      35      -5.600       1.800      -0.326
      13      36      -5.600       2.000      -0.289
      13      37      -5.600       2.200      -0.247
      13      38      -5.600       2.400      -0.205
      13      39      -5.600       2.600      -0.165
      13      40      -5.600       2.800      -0.128
      13      41      -5.600       3.000      -0.090
      13      42      -5.600       3.200      -0.046
      13      43      -5.600       3.400       0.010
      13      44      -5.600       3.600       0.085
      13      45      -5.600       3.800       0.181
      13      46      -5.600       4.000       0.300
      13      47      -5.600       4.200       0.437
      13      48      -5.600       4.400       0.586
      13      49      -5.600       4.600       0.735
      13      50      -5.600       4.800       0.868
      13      51      -5.600       5.000       0.970
      14       1      -5.400      -5.000       0.748
      14       2      -5.400      -4.800       0.826
      14       3      -5.400      -4.600       0.859
      14       4      -5.400      -4.400       0.833
      14       5      -5.400      -4.200       0.743
      14       6      -5.400      -4.000       0.590
      14       7      -5.400      -3.800       0.383
      14       8      -5.400      -3.600       0.137
      14       9      -5.400      -3.400      -0.126
      14      10      -5.400      -3.200      -0.379
      14      11      -5.400      -3.000      -0.598
      14      12      -5.400      -2.800      -0.761
      14      13      -5.400      -2.600      -0.850
      14      14      -5.400      -2.400      -0.857
      14      15      -5.400      -2.200      -0.783
      14      16      -5.400      -2.000      -0.637
      14      17      -5.400      -1.800      -0.437
      14      18      -5.400      -1.600      -0.205
      14      19      -5.400      -1.400       0.030
      14      20      -5.400      -1.200       0.245
      14      21      -5.400      -1.000       0.416
      14      22      -5.400      -0.800       0.526
      14      23      -5.400      -0.600       0.568
      14      24      -5.400      -0.400       0.543
      14      25      -5.400      -0.200       0.458
      14      26      -5.400       0.000       0.328
      14      27      -5.400       0.200       0.174
      14      28      -5.400       0.400       0.016
      14      29      -5.400       0.600      -0.126
      14      30      -5.400       0.800      -0.238
      14      31      -5.400       1.000      -0.308
      14      32      -5.400       1.200      -0.336
      14      33      -5.400       1.400      -0.324
      14      34      -5.400       1.600      -0.283
      14      35      -5.400       1.800      -0.226
      14      36      -5.400       2.000      -0.169
      14      37      -5.400       2.200      -0.124
      14      38      -5.400       2.400      -0.101
      14      39      -5.400       2.600      -0.105
      14      40      -5.400       2.800      -0.133
      14      41      -5.400       3.000      -0.177
      14      42      -5.400       3.200      -0.225
      14      43      -5.400       3.400      -0.260
      14      44      -5.400       3.600      -0.268
      14      45      -5.400       3.800      -0.234
      14      46      -5.400       4.000      -0.150
      14      47      -5.400       4.200      -0.015
      14      48      -5.400       4.400       0.164
      14      49      -5.400       4.600       0.375
      14      50      -5.400       4.800       0.597
      14      51      -5.400       5.000       0.805
      15       1      -5.200      -5.000       0.526
      15       2      -5.200      -4.800       0.609
      15       3      -5.200      -4.600       0.652
      15       4      -5.200      -4.400       0.637
      15       5      -5.200      -4.200       0.551
      15       6      -5.200      -4.000       0.395
      15       7      -5.200      -3.800       0.175
      15       8      -5.200      -3.600      -0.090
      15       9      -5.200      -3.400      -0.374
      15      10      -5.200      -3.200      -0.645
      15      11      -5.200      -3.000      -0.874
      15      12      -5.200      -2.800      -1.031
      15      13      -5.200      -2.600      -1.098
      15      14      -5.200      -2.400      -1.062
      15      15      -5.200      -2.200      -0.927
      15      16      -5.200      -2.000      -0.704
